server_name,tools,with_description,with_schema,mean_desc_words
io.github.ykshah1309/global-sentinel-mcp,7,7,0,63.1
io.github.CKBrennan/overtone-news-mcp,7,7,0,41.4
io.github.SergioRico1/thrd,7,7,7,9.6
io.github.SelfPy/science-ai-mcp-server,7,7,7,8.9
io.github.dorukardahan/twitterapi-io-mcp,7,7,0,37.6
io.github.codespar/mcp-bold-co,7,7,0,17.0
io.github.geeks-accelerator/animalhouse,7,7,0,30.3
io.github.CSOAI-ORG/iso-42005-impact-mcp,7,7,0,18.4
io.github.Qiskit/qiskit-ibm-transpiler-mcp-server,7,7,0,106.7
io.github.cadlens-co/cadlens-mcp,7,7,0,18.6
io.github.YarnSh39/wavestreamer,7,7,0,33.7
io.github.hrishikesh-thakre/ai-workbench-mcp,7,7,0,8.6
io.github.grichardomi/faxseal,7,7,0,18.0
io.github.batchwatch/batchwatch-mcp,6,6,0,12.8
io.github.postall-io/postall,6,6,0,13.7
io.github.danbones33/clawcast,6,6,0,15.5
io.github.rlawogh1005/green-mcp,6,6,0,52.7
io.github.pachote/nira-file-intel,6,6,0,20.5
io.github.capyBearista/gemini-researcher,6,6,0,15.0
io.github.yonro/xmemo,6,6,0,7.8
io.github.pachote/nira-temporal,6,6,0,19.8
io.github.csjoblom/musclesworked,6,6,0,10.0
io.github.matematicsolutions/at-eli-mcp,6,6,0,45.0
io.github.conorbronsdon/op3-mcp,6,6,0,40.0
io.github.Defozo/ddc-ci-control-bridge,6,6,0,5.3
io.github.mansurjisan/ofs-mcp,6,6,0,56.3
io.github.peureka/agentlookup-mcp,6,6,0,22.8
io.github.matematicsolutions/kio-orzeczenia-mcp,6,6,0,63.0
io.github.danishashko/edgar-mcp,6,6,0,90.7
io.github.CSOAI-ORG/landlaw-ai-mcp,6,6,0,123.5
io.github.closermethod/outreach-deliverability-mcp,6,6,0,26.0
io.github.ayushcodes10/echo-mem,6,6,0,117.2
io.github.let-sunny/canicode,6,6,0,38.2
io.github.udah1/cursor-chat-bridge,6,6,0,8.7
io.github.yjhann33-design/korea-stock-insight-mcp,6,6,0,39.8
io.github.spences10/mcp-omnisearch,6,6,0,28.0
io.github.ontorata/ratary,6,6,0,13.8
io.github.raportagent/raportagent-mcp,6,6,0,7.3
io.github.gogogadgetbytes/smart-connections,6,6,0,11.5
io.github.infoinlet-marketplace/mcp-mongodb,6,6,0,7.5
io.github.infoinlet-marketplace/mcp-qdrant,6,6,0,7.0
io.github.sharozdawa/content-optimizer,6,6,0,16.7
io.github.aahl/mcp-vods,6,4,0,0.7
io.github.Glebenjoy/defillama-mcp,6,6,0,13.5
io.github.yifanyifan897645/webcheck,6,6,0,14.0
ai.khwan/khwan-mcp,6,6,0,122.5
io.github.Easysend-co/easysend,6,6,0,15.3
io.github.zlatkoc/youtube-summarize,6,6,0,68.5
io.github.musharna/data-aggregator-mcp,6,0,0,0.0
ai.obris/mcp,6,6,0,49.3
io.github.meltingpixelsai/zero-core-budget,6,6,0,13.2
io.github.allchemylabs/aether-wcag-scanner,6,6,0,25.8
dev.publicsafetyapi/publicsafetyapi-mcp,6,6,0,55.3
io.github.Mikehzp/agentvuln,6,6,0,46.5
io.github.anpekesen/namegender,6,6,0,14.5
io.github.danishashko/fred-economic-mcp,6,6,0,96.3
io.github.CSOAI-ORG/agent-incident-relay-mcp,6,6,0,27.8
io.github.CSOAI-ORG/agent-content-watermark-mcp,6,6,0,24.5
io.github.rog0x/docs,5,5,0,18.8
io.github.TranHoaiHung/figma-ui-mcp,5,5,0,11.2
io.github.vfxprojoe/studio-signal,5,5,0,21.0
io.github.n24q02m/wet-mcp,5,5,0,99.8
io.github.xinxinhenaixin/emailfinder-mcp,5,5,0,17.2
io.github.tlennon-ie/neurodock-mcp-chronometric,5,4,0,5.6
com.echosaw/mcp-server,5,5,0,41.6
io.github.Devrajsinh-Jhala/npx-vibe,5,5,0,32.4
io.github.pachote/nira-repl,5,5,0,12.2
com.collhub/collhub,5,5,0,13.8
io.github.rog0x/github,5,5,0,21.0
io.github.moniantov/timera,5,5,0,14.4
io.github.newageflyfish-max/volthq,5,5,0,15.8
io.github.arikanatakan/pmcontrols-mcp,5,5,0,15.4
io.github.alibaizhanov/densely,5,5,0,40.4
io.github.rog0x/testing,5,5,0,22.4
io.github.CSOAI-ORG/event-planning-ai-mcp,5,5,0,124.6
io.github.pcmedsinge/mcp-fhir,5,0,0,0.0
io.github.Jhackman2019/codebase-context-mcp,5,5,0,15.2
io.github.lchampz/heimdall,5,5,0,5.6
io.github.CSOAI-ORG/unit-converter-ai-mcp,5,5,0,12.4
io.github.den-indance/google-trends-mcp,5,5,0,11.0
io.github.kontragentpro/kontragentpro-mcp,5,5,0,28.8
io.github.CSOAI-ORG/agent-identity-trust-mcp,5,5,0,134.2
io.github.qso-graph/sota-mcp,5,5,0,45.0
io.verityscore/geo-audit,5,5,0,28.6
io.github.cyberia-to/bostrom-mcp,5,5,0,9.2
io.github.flinker-app/ifc-mcp,5,5,0,54.6
io.github.Akhilucky/ai-firewall-mcp,5,0,4,0.0
io.github.sebastienrousseau/bankstatementparser-mcp,5,5,0,79.0
io.github.rafsilva85/skillflow,5,5,0,13.4
io.github.JoernBerkefeld/mcp-server-mcdev,5,5,0,10.8
io.github.heisee/letsclarify-mcp,5,5,0,19.6
io.github.sarim-aliii/github-issue-mcp,5,5,0,17.4
